a_p1,a_o1,a_p2,a_o2,b_p1,b_o1,b_p2,b_o2,a_ev,b_ev,ev_diff,ev_ratio,rare
0.86,4.03,0.14,12.75,1,4.33,0,0,5.25,4.33,0.92,1.21,attractive
0.09,13.15,0.91,19.62,1,18.28,0,0,19.04,18.28,0.76,1.04,unattractive
0.65,3.3,0.35,17.2,1,14.25,0,0,8.16,14.25,-6.09,0.57,none
0.32,2.45,0.68,18.07,1,17.27,0,0,13.07,17.27,-4.2,0.76,none
0.72,2.05,0.28,10.76,1,7.64,0,0,4.49,7.64,-3.15,0.59,none
0.13,8.99,0.87,19.74,1,16.12,0,0,18.34,16.12,2.22,1.14,unattractive
0.85,0.45,0.15,4.84,1,1.15,0,0,1.11,1.15,-0.04,0.97,attractive
0.54,11.23,0.46,18.2,1,17.78,0,0,14.44,17.78,-3.34,0.81,none
0.39,0.83,0.61,17.89,1,4.82,0,0,11.24,4.82,6.42,2.33,none
0.28,6.18,0.72,17.56,1,10.09,0,0,14.37,10.09,4.28,1.42,none
0.32,17.74,0.68,19.04,1,18.19,0,0,18.62,18.19,0.43,1.02,none
0.96,9.66,0.04,19.6,1,15.61,0,0,10.06,15.61,-5.55,0.64,attractive
0.89,1.57,0.11,16.49,1,9.91,0,0,3.21,9.91,-6.7,0.32,attractive
0.21,2.12,0.79,11.99,1,6.71,0,0,9.92,6.71,3.21,1.48,none
0.4,0.93,0.6,10.72,1,6.92,0,0,6.8,6.92,-0.12,0.98,none
0.63,0.15,0.37,19.01,1,17.64,0,0,7.13,17.64,-10.51,0.4,none
0.65,3.95,0.35,19.68,1,17.1,0,0,9.46,17.1,-7.64,0.55,none
0.84,0.89,0.16,11.84,1,1.42,0,0,2.64,1.42,1.22,1.86,attractive
0.42,0.92,0.58,17.54,1,14.68,0,0,10.56,14.68,-4.12,0.72,none
0.08,1.85,0.92,16.06,1,5.59,0,0,14.92,5.59,9.33,2.67,unattractive
0.7,9.28,0.3,12.79,1,12.33,0,0,10.33,12.33,-2,0.84,none
0.11,8,0.89,18.49,1,11.27,0,0,17.34,11.27,6.07,1.54,unattractive
0.72,1.46,0.28,15.16,1,14.21,0,0,5.3,14.21,-8.91,0.37,none
0.59,3.14,0.41,13.63,1,8.26,0,0,7.44,8.26,-0.82,0.9,none
0.86,6,0.14,19.03,1,14.13,0,0,7.82,14.13,-6.31,0.55,attractive
0.92,7.89,0.08,12.25,1,10.66,0,0,8.24,10.66,-2.42,0.77,attractive
0.61,11.57,0.39,14.92,1,13.19,0,0,12.88,13.19,-0.31,0.98,none
0.28,0.66,0.72,15.9,1,14.11,0,0,11.63,14.11,-2.48,0.82,none
0.07,3.74,0.93,12.45,1,8.13,0,0,11.84,8.13,3.71,1.46,unattractive
0.29,4.49,0.71,18.29,1,12.96,0,0,14.29,12.96,1.33,1.1,none
0.9,2.91,0.1,19.16,1,10.34,0,0,4.54,10.34,-5.8,0.44,attractive
0.36,15.57,0.64,18.3,1,18.11,0,0,17.32,18.11,-0.79,0.96,none
0.89,4.42,0.11,14.96,1,6.36,0,0,5.58,6.36,-0.78,0.88,attractive
0.13,0.81,0.87,10.73,1,1.95,0,0,9.44,1.95,7.49,4.84,unattractive
0.09,2.1,0.91,8.97,1,6.79,0,0,8.35,6.79,1.56,1.23,unattractive
0.38,3.15,0.62,18.08,1,14.8,0,0,12.41,14.8,-2.39,0.84,none
0.39,0.51,0.61,9.45,1,0.72,0,0,5.96,0.72,5.24,8.28,none
0.02,3.7,0.98,19.59,1,14.71,0,0,19.27,14.71,4.56,1.31,unattractive
0.21,7.73,0.79,16.51,1,11.79,0,0,14.67,11.79,2.88,1.24,none
0.23,0.28,0.77,13.69,1,3.65,0,0,10.61,3.65,6.96,2.91,none
0.77,3.64,0.23,12.24,1,11.66,0,0,5.62,11.66,-6.04,0.48,none
0.68,8.93,0.32,16.5,1,11.47,0,0,11.35,11.47,-0.12,0.99,none
0.27,14.31,0.73,17.6,1,16.34,0,0,16.71,16.34,0.37,1.02,none
0.59,0.57,0.41,4.46,1,1.54,0,0,2.16,1.54,0.62,1.4,none
0.31,7.29,0.69,14.94,1,8.88,0,0,12.57,8.88,3.69,1.42,none
0.37,7.28,0.63,15.18,1,12.14,0,0,12.26,12.14,0.12,1.01,none
0.94,0.75,0.06,16.18,1,9.55,0,0,1.68,9.55,-7.87,0.18,attractive
0.55,3.45,0.45,18.19,1,16.76,0,0,10.08,16.76,-6.68,0.6,none
0.49,11.06,0.51,17.95,1,17.7,0,0,14.57,17.7,-3.13,0.82,none
0.75,0.89,0.25,16.91,1,3.93,0,0,4.89,3.93,0.96,1.24,none
0.8,0.02,0.2,16,1,14.66,0,0,3.22,14.66,-11.44,0.22,none
0.78,6.54,0.22,19.38,1,12.43,0,0,9.36,12.43,-3.07,0.75,none
0.51,7.07,0.49,14.37,1,12.85,0,0,10.65,12.85,-2.2,0.83,none
0.28,2.99,0.72,19.48,1,14.08,0,0,14.86,14.08,0.78,1.06,none
0.12,6,0.88,18.58,1,16.59,0,0,17.07,16.59,0.48,1.03,unattractive
0.94,4.38,0.06,17.16,1,7.26,0,0,5.15,7.26,-2.11,0.71,attractive
0.92,5.32,0.08,18.13,1,7.9,0,0,6.34,7.9,-1.56,0.8,attractive
0.32,9.08,0.68,14.77,1,12.75,0,0,12.95,12.75,0.2,1.02,none
0.76,6.55,0.24,13.92,1,7.94,0,0,8.32,7.94,0.38,1.05,none
0.12,6.55,0.88,12.25,1,7.76,0,0,11.57,7.76,3.81,1.49,unattractive
0.84,4.36,0.16,18.05,1,12.82,0,0,6.55,12.82,-6.27,0.51,attractive
0.83,1.92,0.17,16.83,1,15.43,0,0,4.45,15.43,-10.98,0.29,attractive
0.12,1.91,0.88,19.96,1,2.71,0,0,17.79,2.71,15.08,6.56,unattractive
0.15,14.12,0.85,15.15,1,14.95,0,0,15,14.95,0.05,1,unattractive
0.09,2.24,0.91,17.65,1,5.22,0,0,16.26,5.22,11.04,3.11,unattractive
0.95,4.11,0.05,19.36,1,17.38,0,0,4.87,17.38,-12.51,0.28,attractive
0.33,2.01,0.67,18.96,1,8.73,0,0,13.37,8.73,4.64,1.53,none
0.17,3.22,0.83,16.95,1,9.97,0,0,14.62,9.97,4.65,1.47,unattractive
0.39,8.03,0.61,13.94,1,9.79,0,0,11.64,9.79,1.85,1.19,none
0.52,7.96,0.48,18.64,1,8.33,0,0,13.09,8.33,4.76,1.57,none
0.64,4.28,0.36,15.2,1,10.58,0,0,8.21,10.58,-2.37,0.78,none
0.09,1.35,0.91,15.82,1,6.53,0,0,14.52,6.53,7.99,2.22,unattractive
0.57,3.26,0.43,17.03,1,7.83,0,0,9.18,7.83,1.35,1.17,none
0.32,1.99,0.68,10.56,1,4.58,0,0,7.82,4.58,3.24,1.71,none
0.11,16.23,0.89,19.85,1,18.55,0,0,19.45,18.55,0.9,1.05,unattractive
0.04,4.03,0.96,18.81,1,8.28,0,0,18.22,8.28,9.94,2.2,unattractive
0.95,5.6,0.05,8.47,1,5.99,0,0,5.74,5.99,-0.25,0.96,attractive
0.65,11.07,0.35,19.07,1,13.02,0,0,13.87,13.02,0.85,1.07,none
0.8,1.66,0.2,19.21,1,18,0,0,5.17,18,-12.83,0.29,none
0.12,1.84,0.88,11.59,1,3.12,0,0,10.42,3.12,7.3,3.34,unattractive
0.94,0.04,0.06,12.29,1,10.67,0,0,0.78,10.67,-9.89,0.07,attractive
0.92,5.38,0.08,13.73,1,12.18,0,0,6.05,12.18,-6.13,0.5,attractive
0.92,0.66,0.08,10.96,1,1.76,0,0,1.48,1.76,-0.28,0.84,attractive
0.41,2.62,0.59,14.94,1,6.06,0,0,9.89,6.06,3.83,1.63,none
0.97,0.3,0.03,5.67,1,4.04,0,0,0.46,4.04,-3.58,0.11,attractive
0.4,2.59,0.6,11.97,1,4.51,0,0,8.22,4.51,3.71,1.82,none
0.75,1.39,0.25,14.97,1,4.28,0,0,4.78,4.28,0.5,1.12,none
0.26,6.84,0.74,16.63,1,15.97,0,0,14.08,15.97,-1.89,0.88,none
0.9,3.66,0.1,19.49,1,19.41,0,0,5.24,19.41,-14.17,0.27,attractive
0.19,1.73,0.81,16.91,1,14.21,0,0,14.03,14.21,-0.18,0.99,unattractive
0.12,1.79,0.88,6.15,1,4.63,0,0,5.63,4.63,1,1.22,unattractive
0.33,0.84,0.67,18.94,1,1.17,0,0,12.97,1.17,11.8,11.09,none
0.2,0.13,0.8,14,1,2.07,0,0,11.23,2.07,9.16,5.43,none
0.13,6.69,0.87,19.92,1,9.92,0,0,18.2,9.92,8.28,1.83,unattractive
0.6,3.8,0.4,12.9,1,6.62,0,0,7.44,6.62,0.82,1.12,none
0.27,6.75,0.73,10.32,1,9.79,0,0,9.36,9.79,-0.43,0.96,none
0.48,0.05,0.52,4.99,1,1.42,0,0,2.62,1.42,1.2,1.85,none
0.78,1.02,0.22,14.59,1,7.64,0,0,4.01,7.64,-3.63,0.52,none
0.35,7.97,0.65,13.82,1,10.84,0,0,11.77,10.84,0.93,1.09,none
0.56,5.24,0.44,18.63,1,17,0,0,11.13,17,-5.87,0.65,none
0.29,5.9,0.71,8.98,1,6.02,0,0,8.09,6.02,2.07,1.34,none
0.9,4.05,0.1,15.01,1,11.3,0,0,5.15,11.3,-6.15,0.46,attractive
0.13,6.62,0.87,19.01,1,13.2,0,0,17.4,13.2,4.2,1.32,unattractive
0.46,0.09,0.54,10.89,1,5.14,0,0,5.92,5.14,0.78,1.15,none
0.99,5.49,0.01,10.4,1,8.99,0,0,5.54,8.99,-3.45,0.62,attractive
0.1,4.33,0.9,16.04,1,15.55,0,0,14.87,15.55,-0.68,0.96,unattractive
0.64,0.88,0.36,11.69,1,3.49,0,0,4.77,3.49,1.28,1.37,none
0.89,0.27,0.11,10.68,1,9.53,0,0,1.42,9.53,-8.11,0.15,attractive
0.77,5.46,0.23,12.68,1,11.72,0,0,7.12,11.72,-4.6,0.61,none
0.35,1.01,0.65,16.67,1,10.99,0,0,11.19,10.99,0.2,1.02,none
0.59,2.4,0.41,16.35,1,14.57,0,0,8.12,14.57,-6.45,0.56,none
0.76,3.65,0.24,18.92,1,5.88,0,0,7.31,5.88,1.43,1.24,none
0.5,5.72,0.5,19.12,1,11.13,0,0,12.42,11.13,1.29,1.12,none
0.5,5.77,0.5,17.65,1,16.74,0,0,11.71,16.74,-5.03,0.7,none
0.78,0.64,0.22,13.2,1,3.48,0,0,3.4,3.48,-0.08,0.98,none
0.62,14.31,0.38,17.98,1,16.53,0,0,15.7,16.53,-0.83,0.95,none
0.1,0.92,0.9,2.31,1,1.05,0,0,2.17,1.05,1.12,2.07,unattractive
0.26,3.78,0.74,9.4,1,7.73,0,0,7.94,7.73,0.21,1.03,none
0.06,1.62,0.94,9.48,1,7.49,0,0,9.01,7.49,1.52,1.2,unattractive
0.09,5.71,0.91,12.69,1,11.69,0,0,12.06,11.69,0.37,1.03,unattractive
0.31,1.47,0.69,17.23,1,7.1,0,0,12.34,7.1,5.24,1.74,none
0.12,1.35,0.88,17.16,1,5.41,0,0,15.26,5.41,9.85,2.82,unattractive
0.36,1.43,0.64,12.6,1,4.31,0,0,8.58,4.31,4.27,1.99,none
0.82,1.65,0.18,17.06,1,14.65,0,0,4.42,14.65,-10.23,0.3,attractive
0.96,4.94,0.04,13.77,1,7.36,0,0,5.29,7.36,-2.07,0.72,attractive
0.15,1.92,0.85,7.35,1,2.2,0,0,6.54,2.2,4.34,2.97,unattractive
0.06,3.29,0.94,6.78,1,4.32,0,0,6.57,4.32,2.25,1.52,unattractive
0.51,0.66,0.49,13.83,1,13.74,0,0,7.11,13.74,-6.63,0.52,none
0.03,5.02,0.97,14.6,1,7.04,0,0,14.31,7.04,7.27,2.03,unattractive
0.87,0.82,0.13,17.74,1,11.58,0,0,3.02,11.58,-8.56,0.26,attractive
0.63,11.24,0.37,14.36,1,12.94,0,0,12.39,12.94,-0.55,0.96,none
0.28,9.43,0.72,17.43,1,13.6,0,0,15.19,13.6,1.59,1.12,none
0.09,17.81,0.91,19.1,1,18.34,0,0,18.98,18.34,0.64,1.03,unattractive
0.63,6.21,0.37,17.51,1,9.2,0,0,10.39,9.2,1.19,1.13,none
0.95,1.04,0.05,10.37,1,2.2,0,0,1.51,2.2,-0.69,0.69,attractive
0.32,4.12,0.68,19.86,1,15.58,0,0,14.82,15.58,-0.76,0.95,none
0.55,11.46,0.45,18.23,1,15.92,0,0,14.51,15.92,-1.41,0.91,none
0.76,6.73,0.24,14.05,1,10.36,0,0,8.49,10.36,-1.87,0.82,none
0.73,10.8,0.27,19.95,1,13.71,0,0,13.27,13.71,-0.44,0.97,none
0.96,2.65,0.04,17.7,1,5.23,0,0,3.25,5.23,-1.98,0.62,attractive
0.73,0.4,0.27,18.91,1,1.11,0,0,5.4,1.11,4.29,4.86,none
0.68,0.17,0.32,19.8,1,2.03,0,0,6.45,2.03,4.42,3.18,none
0.38,0.72,0.62,17.26,1,5.13,0,0,10.97,5.13,5.84,2.14,none
0.53,1.54,0.47,18.82,1,14.33,0,0,9.66,14.33,-4.67,0.67,none
0.49,0.08,0.51,8.7,1,8.51,0,0,4.48,8.51,-4.03,0.53,none
0.86,0.39,0.14,1.98,1,1.3,0,0,0.61,1.3,-0.69,0.47,attractive
0.35,5.13,0.65,16.83,1,5.34,0,0,12.73,5.34,7.39,2.38,none
0.83,2.08,0.17,13.75,1,11.45,0,0,4.06,11.45,-7.39,0.35,attractive
0.33,5.98,0.67,18.61,1,13.41,0,0,14.44,13.41,1.03,1.08,none
0.48,5.12,0.52,12.92,1,6.9,0,0,9.18,6.9,2.28,1.33,none
0.44,8.6,0.56,9.69,1,9.04,0,0,9.21,9.04,0.17,1.02,none
0.18,4.84,0.82,9.74,1,8.92,0,0,8.86,8.92,-0.06,0.99,unattractive
0.52,2.4,0.48,13.62,1,5.85,0,0,7.79,5.85,1.94,1.33,none
0.59,5.08,0.41,17.51,1,5.45,0,0,10.18,5.45,4.73,1.87,none
0.92,10.51,0.08,14.51,1,10.59,0,0,10.83,10.59,0.24,1.02,attractive
0.77,2.84,0.23,18.85,1,9.16,0,0,6.52,9.16,-2.64,0.71,none
0.23,2.28,0.77,17.05,1,3.72,0,0,13.65,3.72,9.93,3.67,none
0.99,7.72,0.01,18.41,1,16.24,0,0,7.83,16.24,-8.41,0.48,attractive
0.89,2.9,0.11,14.14,1,13.17,0,0,4.14,13.17,-9.03,0.31,attractive
0.28,4.94,0.72,10.09,1,5.24,0,0,8.65,5.24,3.41,1.65,none
0.9,1.22,0.1,17.7,1,6.67,0,0,2.87,6.67,-3.8,0.43,attractive
0.53,11.29,0.47,17.98,1,11.48,0,0,14.43,11.48,2.95,1.26,none
0.76,2.51,0.24,12.19,1,3.26,0,0,4.83,3.26,1.57,1.48,none
0.49,0.78,0.51,14.77,1,7.32,0,0,7.91,7.32,0.59,1.08,none
0.27,1.23,0.73,18.93,1,16.22,0,0,14.15,16.22,-2.07,0.87,none
0.77,3.13,0.23,17.59,1,15.95,0,0,6.46,15.95,-9.49,0.41,none
0.16,5.96,0.84,14.36,1,8.06,0,0,13.02,8.06,4.96,1.62,unattractive
0.39,10.41,0.61,17.71,1,15.53,0,0,14.86,15.53,-0.67,0.96,none
0.72,1.73,0.28,10.85,1,6.72,0,0,4.28,6.72,-2.44,0.64,none
0.53,3.41,0.47,19.75,1,17.62,0,0,11.09,17.62,-6.53,0.63,none
0.6,3.7,0.4,8.78,1,7.67,0,0,5.73,7.67,-1.94,0.75,none
0.68,6.29,0.32,16.48,1,16.35,0,0,9.55,16.35,-6.8,0.58,none
0.57,1.76,0.43,15.53,1,11.62,0,0,7.68,11.62,-3.94,0.66,none
0.01,8.02,0.99,15.97,1,10.07,0,0,15.89,10.07,5.82,1.58,unattractive
0.73,0.29,0.27,8.6,1,7.26,0,0,2.53,7.26,-4.73,0.35,none
0.74,1.34,0.26,8.79,1,4.76,0,0,3.28,4.76,-1.48,0.69,none
0.57,1.17,0.43,6.02,1,5.22,0,0,3.26,5.22,-1.96,0.62,none
0.68,6.9,0.32,10.99,1,8.14,0,0,8.21,8.14,0.07,1.01,none
0.89,6.2,0.11,13.08,1,6.64,0,0,6.96,6.64,0.32,1.05,attractive
0.51,0.84,0.49,4.07,1,3.12,0,0,2.42,3.12,-0.7,0.78,none
0.82,13.03,0.18,18.08,1,17.01,0,0,13.94,17.01,-3.07,0.82,attractive
0.93,0.06,0.07,11.08,1,1.28,0,0,0.83,1.28,-0.45,0.65,attractive
0.21,0.72,0.79,10.02,1,9.67,0,0,8.07,9.67,-1.6,0.83,none
0.36,1.91,0.64,19.97,1,10.61,0,0,13.47,10.61,2.86,1.27,none
0.59,3.85,0.41,15.52,1,3.86,0,0,8.63,3.86,4.77,2.24,none
0.5,3.8,0.5,16.85,1,6.34,0,0,10.33,6.34,3.99,1.63,none
0.57,4.38,0.43,7.99,1,4.47,0,0,5.93,4.47,1.46,1.33,none
0.5,2.93,0.5,19.57,1,14.59,0,0,11.25,14.59,-3.34,0.77,none
0.52,12.95,0.48,17.95,1,15.67,0,0,15.35,15.67,-0.32,0.98,none
0.71,14.99,0.29,17.49,1,17,0,0,15.71,17,-1.29,0.92,none
0.54,0.52,0.46,13.97,1,8.5,0,0,6.71,8.5,-1.79,0.79,none
0.52,1.75,0.48,12.55,1,8.35,0,0,6.93,8.35,-1.42,0.83,none
0.39,1.89,0.61,16.78,1,12.12,0,0,10.97,12.12,-1.15,0.91,none
0.93,5.14,0.07,17.63,1,17.33,0,0,6.01,17.33,-11.32,0.35,attractive
0.4,3.66,0.6,10.2,1,9.62,0,0,7.58,9.62,-2.04,0.79,none
0.37,3.82,0.63,9.68,1,4.86,0,0,7.51,4.86,2.65,1.55,none
0.77,1.63,0.23,13.33,1,7.01,0,0,4.32,7.01,-2.69,0.62,none
0.9,1.5,0.1,12.17,1,6.76,0,0,2.57,6.76,-4.19,0.38,attractive
0.38,5.94,0.62,16.28,1,8.6,0,0,12.35,8.6,3.75,1.44,none
0.33,5.37,0.67,19.93,1,8.13,0,0,15.13,8.13,7,1.86,none
0.58,9.16,0.42,17.09,1,12.45,0,0,12.49,12.45,0.04,1,none
0.91,10.32,0.09,16.88,1,11.76,0,0,10.91,11.76,-0.85,0.93,attractive
0.53,8.83,0.47,18.38,1,18.27,0,0,13.32,18.27,-4.95,0.73,none
0.93,1.52,0.07,14.39,1,9.96,0,0,2.42,9.96,-7.54,0.24,attractive
0.53,2.4,0.47,16.92,1,3.82,0,0,9.22,3.82,5.4,2.41,none
0.86,16.24,0.14,19.12,1,18.56,0,0,16.64,18.56,-1.92,0.9,attractive
0.87,10.98,0.13,15.77,1,14.08,0,0,11.6,14.08,-2.48,0.82,attractive
0.76,2.25,0.24,19.11,1,7.26,0,0,6.3,7.26,-0.96,0.87,none
0.35,3.66,0.65,12.1,1,10.44,0,0,9.15,10.44,-1.29,0.88,none
0.35,10.34,0.65,19.95,1,13.85,0,0,16.59,13.85,2.74,1.2,none
0.46,1.42,0.54,10.45,1,7.6,0,0,6.3,7.6,-1.3,0.83,none
0.86,8.78,0.14,17.86,1,12.55,0,0,10.05,12.55,-2.5,0.8,attractive
0.98,6.38,0.02,9.36,1,7.65,0,0,6.44,7.65,-1.21,0.84,attractive
0.11,12.1,0.89,12.86,1,12.62,0,0,12.78,12.62,0.16,1.01,unattractive
0.65,3.72,0.35,11.64,1,11.05,0,0,6.49,11.05,-4.56,0.59,none
0.11,8.14,0.89,9,1,8.9,0,0,8.91,8.9,0.01,1,unattractive
0.38,9.01,0.62,13.66,1,12.06,0,0,11.89,12.06,-0.17,0.99,none
0.91,5.18,0.09,19.75,1,13.66,0,0,6.49,13.66,-7.17,0.48,attractive
0.08,5.32,0.92,14.89,1,9.48,0,0,14.12,9.48,4.64,1.49,unattractive
0.16,6.59,0.84,19.48,1,13.76,0,0,17.42,13.76,3.66,1.27,unattractive
0.43,1.53,0.57,17.44,1,9.22,0,0,10.6,9.22,1.38,1.15,none
0.46,8.53,0.54,15.06,1,14.4,0,0,12.06,14.4,-2.34,0.84,none
0.99,2.72,0.01,11.11,1,4.09,0,0,2.8,4.09,-1.29,0.68,attractive
0.56,7.59,0.44,19.05,1,14.8,0,0,12.63,14.8,-2.17,0.85,none
0.73,14.93,0.27,16.97,1,15.94,0,0,15.48,15.94,-0.46,0.97,none
0.37,1.56,0.63,13.15,1,2.99,0,0,8.86,2.99,5.87,2.96,none
0.82,3.18,0.18,17.56,1,16.94,0,0,5.77,16.94,-11.17,0.34,attractive
0.45,2.9,0.55,15.23,1,4.97,0,0,9.68,4.97,4.71,1.95,none
0.24,1.62,0.76,15.21,1,5.88,0,0,11.95,5.88,6.07,2.03,none
0.61,4.14,0.39,15.02,1,10.93,0,0,8.38,10.93,-2.55,0.77,none
0.54,3.62,0.46,13.43,1,9.75,0,0,8.13,9.75,-1.62,0.83,none
0.54,3.23,0.46,10.06,1,3.63,0,0,6.37,3.63,2.74,1.75,none
0.56,8.03,0.44,17.61,1,15.61,0,0,12.25,15.61,-3.36,0.78,none
0.18,7.36,0.82,18.25,1,11.61,0,0,16.29,11.61,4.68,1.4,unattractive
0.97,6.48,0.03,12.29,1,12.05,0,0,6.65,12.05,-5.4,0.55,attractive
0.32,0.04,0.68,9.14,1,5.28,0,0,6.23,5.28,0.95,1.18,none
0.36,12.11,0.64,15.32,1,13.03,0,0,14.16,13.03,1.13,1.09,none
0.79,0.7,0.21,13.92,1,7.49,0,0,3.48,7.49,-4.01,0.46,none
0.15,6.73,0.85,16.94,1,7.48,0,0,15.41,7.48,7.93,2.06,unattractive
0.54,6.34,0.46,19.64,1,6.41,0,0,12.46,6.41,6.05,1.94,none
0.2,11.8,0.8,19.9,1,12.58,0,0,18.28,12.58,5.7,1.45,none
0.28,6.66,0.72,16.18,1,11.56,0,0,13.51,11.56,1.95,1.17,none
0.97,1.36,0.03,15.32,1,14.08,0,0,1.78,14.08,-12.3,0.13,attractive
0.59,6.67,0.41,19.53,1,11.15,0,0,11.94,11.15,0.79,1.07,none
0.82,0.07,0.18,16.12,1,16.05,0,0,2.96,16.05,-13.09,0.18,attractive
0.62,9.03,0.38,14.17,1,10.49,0,0,10.98,10.49,0.49,1.05,none
0.92,3.61,0.08,12.94,1,10.72,0,0,4.36,10.72,-6.36,0.41,attractive
0.19,4.47,0.81,8.64,1,7.72,0,0,7.85,7.72,0.13,1.02,unattractive
0.09,8.47,0.91,18.88,1,8.55,0,0,17.94,8.55,9.39,2.1,unattractive
0.14,5.6,0.86,17.65,1,10.08,0,0,15.96,10.08,5.88,1.58,unattractive
0.06,7.54,0.94,13.48,1,13.44,0,0,13.12,13.44,-0.32,0.98,unattractive
0.33,10.67,0.67,14.34,1,11.25,0,0,13.13,11.25,1.88,1.17,none
0.3,11.5,0.7,16.77,1,15.24,0,0,15.19,15.24,-0.05,1,none
0.23,2.62,0.77,14.99,1,7.76,0,0,12.14,7.76,4.38,1.56,none
0.82,0.42,0.18,18.43,1,13.35,0,0,3.66,13.35,-9.69,0.27,attractive
0.6,1.83,0.4,7.91,1,7.87,0,0,4.26,7.87,-3.61,0.54,none
0.59,4.44,0.41,16.18,1,13.3,0,0,9.25,13.3,-4.05,0.7,none
0.7,5.73,0.3,17.27,1,7.31,0,0,9.19,7.31,1.88,1.26,none
0.75,10.67,0.25,12.73,1,11.33,0,0,11.18,11.33,-0.15,0.99,none
0.02,7.54,0.98,17.61,1,17.31,0,0,17.41,17.31,0.1,1.01,unattractive
0.48,10.13,0.52,10.98,1,10.28,0,0,10.57,10.28,0.29,1.03,none
0.95,9.18,0.05,19.63,1,16.69,0,0,9.7,16.69,-6.99,0.58,attractive
0.46,4.52,0.54,11.91,1,5.02,0,0,8.51,5.02,3.49,1.7,none
0.44,5.38,0.56,13.15,1,9.79,0,0,9.73,9.79,-0.06,0.99,none
0.88,2,0.12,15.86,1,6.67,0,0,3.66,6.67,-3.01,0.55,attractive
0.14,1.51,0.86,11.31,1,5.46,0,0,9.94,5.46,4.48,1.82,unattractive
0.08,0.26,0.92,17.53,1,13.26,0,0,16.15,13.26,2.89,1.22,unattractive
0.29,4.75,0.71,17.35,1,11.44,0,0,13.7,11.44,2.26,1.2,none
0.94,2.01,0.06,13.58,1,7.96,0,0,2.7,7.96,-5.26,0.34,attractive
0.26,1,0.74,13.98,1,12.91,0,0,10.61,12.91,-2.3,0.82,none
0.07,12.29,0.93,15.99,1,15.33,0,0,15.73,15.33,0.4,1.03,unattractive
0.82,2.58,0.18,16.44,1,4.75,0,0,5.07,4.75,0.32,1.07,attractive
0.49,0.73,0.51,10.83,1,4.68,0,0,5.88,4.68,1.2,1.26,none
0.64,4.2,0.36,10.67,1,4.2,0,0,6.53,4.2,2.33,1.55,none
0.59,0.56,0.41,16.25,1,12.7,0,0,6.99,12.7,-5.71,0.55,none
0.45,7.85,0.55,17.72,1,10.65,0,0,13.28,10.65,2.63,1.25,none
0.02,12.54,0.98,15.31,1,12.77,0,0,15.25,12.77,2.48,1.19,unattractive
0.74,5.26,0.26,12.57,1,10.72,0,0,7.16,10.72,-3.56,0.67,none
0.12,4.29,0.88,11.07,1,6.79,0,0,10.26,6.79,3.47,1.51,unattractive
0.85,8.42,0.15,15.89,1,9.57,0,0,9.54,9.57,-0.03,1,attractive
0.06,11.2,0.94,15.34,1,11.37,0,0,15.09,11.37,3.72,1.33,unattractive
0.63,10.93,0.37,14.01,1,13.35,0,0,12.07,13.35,-1.28,0.9,none
0.72,2.87,0.28,13.34,1,4.49,0,0,5.8,4.49,1.31,1.29,none
0.11,9.86,0.89,19.78,1,19.68,0,0,18.69,19.68,-0.99,0.95,unattractive
0.98,0.83,0.02,9.38,1,5.16,0,0,1,5.16,-4.16,0.19,attractive
0.84,2.06,0.16,16.95,1,4.77,0,0,4.44,4.77,-0.33,0.93,attractive
0.6,9.61,0.4,18.41,1,16.12,0,0,13.13,16.12,-2.99,0.81,none
0.92,14.44,0.08,18.21,1,14.84,0,0,14.74,14.84,-0.1,0.99,attractive
0.33,1.48,0.67,16.11,1,13.4,0,0,11.28,13.4,-2.12,0.84,none
0.62,15.18,0.38,18.24,1,17.29,0,0,16.34,17.29,-0.95,0.95,none
0.53,1.09,0.47,16.85,1,9.38,0,0,8.5,9.38,-0.88,0.91,none
0.27,1.29,0.73,13.74,1,8.84,0,0,10.38,8.84,1.54,1.17,none
0.33,0.69,0.67,14.38,1,11.84,0,0,9.86,11.84,-1.98,0.83,none
0.64,0.79,0.36,18.08,1,15.79,0,0,7.01,15.79,-8.78,0.44,none
0.22,6.87,0.78,19.69,1,10.63,0,0,16.87,10.63,6.24,1.59,none
0.07,5.65,0.93,19.46,1,10.19,0,0,18.49,10.19,8.3,1.81,unattractive
0.98,10.63,0.02,14.02,1,11.9,0,0,10.7,11.9,-1.2,0.9,attractive
0.72,7.85,0.28,11.2,1,9.35,0,0,8.79,9.35,-0.56,0.94,none
0.66,9.17,0.34,19.14,1,10.53,0,0,12.56,10.53,2.03,1.19,none
0.65,5.9,0.35,15.37,1,7.64,0,0,9.21,7.64,1.57,1.21,none
0.15,0.75,0.85,18.54,1,3.38,0,0,15.87,3.38,12.49,4.7,unattractive
0.83,7.11,0.17,15.83,1,10.72,0,0,8.59,10.72,-2.13,0.8,attractive
0.83,0.38,0.17,18.98,1,12.94,0,0,3.54,12.94,-9.4,0.27,attractive
0.86,3.77,0.14,12.47,1,11.22,0,0,4.99,11.22,-6.23,0.44,attractive
0.44,7.99,0.56,14.33,1,11.76,0,0,11.54,11.76,-0.22,0.98,none
0.44,5.91,0.56,19.45,1,17.4,0,0,13.49,17.4,-3.91,0.78,none
0.42,8.93,0.58,16.29,1,14.13,0,0,13.2,14.13,-0.93,0.93,none
